case_id,execution_mode,dtype,num_gpus,topology_hint,message_size_bytes,in_context,kernel_source,measured_us_p50,measured_us_p10,measured_us_p90,sim_us,gap_meas_over_sim,delta_us,source_profiles
collective__allreduce_n2_10M_concentrated_cudagraph__987de61bbf7d,cudagraph,bf16,2,concentrated,10485760,False,vllm_tensor_model_parallel_all_reduce,1430.9375762939453,1419.4687843322754,1445.2735900878906,1067.776,1.3401102631019477,363.16157629394525,qwen3_4b
collective__allreduce_n2_10M_concentrated_eager__81e2a0890a25,eager,bf16,2,concentrated,10485760,False,vllm_tensor_model_parallel_all_reduce,1438.105583190918,1427.0208358764648,1453.0559539794922,1136.776,1.265073843211783,301.3295831909179,qwen3_4b
collective__allreduce_n2_160K_concentrated_cudagraph__d55cc24ac018,cudagraph,bf16,2,concentrated,163840,False,vllm_tensor_model_parallel_all_reduce,45.260798931121826,44.64640021324158,46.0671991109848,35.584,1.2719424160049972,9.676798931121823,qwen3_4b
collective__allreduce_n2_160K_concentrated_eager__5f48975ce73a,eager,bf16,2,concentrated,163840,False,vllm_tensor_model_parallel_all_reduce,57.75359869003296,50.995200872421265,59.37280058860779,104.584,0.5522221247039026,-46.830401309967044,qwen3_4b
collective__allreduce_n2_20K_concentrated_cudagraph__50f84b289181,cudagraph,bf16,2,concentrated,20480,False,vllm_tensor_model_parallel_all_reduce,15.564799308776855,15.360000729560852,15.769599378108978,21.248,0.732530087950718,-5.683200691223146,qwen3_4b
collective__allreduce_n2_20K_concentrated_eager__ea595dfb2023,eager,bf16,2,concentrated,20480,False,vllm_tensor_model_parallel_all_reduce,46.07999920845032,44.23680007457733,56.11519813537598,90.24799999999999,0.510593023761749,-44.16800079154967,qwen3_4b
collective__allreduce_n2_20M_concentrated_cudagraph__3ea5022157d0,cudagraph,bf16,2,concentrated,20971520,False,vllm_tensor_model_parallel_all_reduce,2824.1920471191406,2801.84326171875,2832.1792602539062,2116.3520000000003,1.33446234233206,707.8400471191403,qwen3_4b
collective__allreduce_n2_20M_concentrated_eager__34cc994933a8,eager,bf16,2,concentrated,20971520,False,vllm_tensor_model_parallel_all_reduce,2832.1792602539062,2816.204833984375,2856.345558166504,2185.3520000000003,1.2959831003215527,646.8272602539059,qwen3_4b
collective__allreduce_n2_2M_concentrated_cudagraph__5e539c65a317,cudagraph,bf16,2,concentrated,2621440,False,vllm_tensor_model_parallel_all_reduce,363.09759616851807,357.5808048248291,372.7360010147095,281.344,1.2905823339702218,81.75359616851807,qwen3_4b
collective__allreduce_n2_2M_concentrated_eager__72d86d1474cc,eager,bf16,2,concentrated,2621440,False,vllm_tensor_model_parallel_all_reduce,373.55520725250244,367.411208152771,381.1327934265137,350.344,1.06625261814817,23.211207252502447,qwen3_4b
collective__allreduce_n2_40M_concentrated_cudagraph__ddf6e7523126,cudagraph,bf16,2,concentrated,41943040,False,vllm_tensor_model_parallel_all_reduce,5604.966354370117,5495.808029174805,5659.443283081055,4213.504,1.3302387643087836,1391.4623543701173,qwen3_4b
collective__allreduce_n2_40M_concentrated_eager__dbfb568f58e4,eager,bf16,2,concentrated,41943040,False,vllm_tensor_model_parallel_all_reduce,5613.395309448242,5531.647872924805,5666.2017822265625,4282.504,1.3107740960541407,1330.8913094482423,qwen3_4b
collective__allreduce_n2_5K_concentrated_cudagraph__113e8e944047,cudagraph,bf16,2,concentrated,5120,False,vllm_tensor_model_parallel_all_reduce,11.878400295972824,11.673600226640701,12.083200365304947,19.712,0.6025974176122577,-7.833599704027176,qwen3_4b
collective__allreduce_n2_5K_concentrated_eager__71e18777981f,eager,bf16,2,concentrated,5120,False,vllm_tensor_model_parallel_all_reduce,45.46560049057007,44.83200013637543,54.681599140167236,88.712,0.5125078962324158,-43.246399509429935,qwen3_4b
collective__allreduce_n2_640K_concentrated_cudagraph__cabaeeed83da,cudagraph,bf16,2,concentrated,655360,False,vllm_tensor_model_parallel_all_reduce,108.7488055229187,107.92959928512573,110.38719415664673,84.73599999999999,1.2833837509785535,24.01280552291871,qwen3_4b
collective__allreduce_n2_640K_concentrated_eager__5968209f2ed6,eager,bf16,2,concentrated,655360,False,vllm_tensor_model_parallel_all_reduce,116.12160205841064,114.48320150375366,118.16960573196411,153.736,0.7553312305407364,-37.614397941589345,qwen3_4b
collective__allreduce_n2_80K_concentrated_cudagraph__e1afff8b2f09,cudagraph,bf16,2,concentrated,81920,False,vllm_tensor_model_parallel_all_reduce,28.05120050907135,27.647998929023743,28.26240062713623,27.392,1.0240654391454203,0.6592005090713506,qwen3_4b
collective__allreduce_n2_80K_concentrated_eager__fd275ce2f570,eager,bf16,2,concentrated,81920,False,vllm_tensor_model_parallel_all_reduce,46.28480076789856,45.6384003162384,55.09120225906372,96.392,0.48017263640030877,-50.107199232101436,qwen3_4b
collective__allreduce_n2_10M_balanced_cudagraph__5940d8fc3ea0,cudagraph,bf16,2,balanced,10485760,False,vllm_tensor_model_parallel_all_reduce,866.4896011352539,864.2560005187988,870.8095550537109,543.488,1.5943122960125224,323.00160113525385,qwen3_4b
collective__allreduce_n2_10M_balanced_eager__bb479cf87572,eager,bf16,2,balanced,10485760,False,vllm_tensor_model_parallel_all_reduce,866.9440269470215,863.0080223083496,874.9055862426758,612.488,1.4154465507030691,254.45602694702143,qwen3_4b
collective__allreduce_n2_160K_balanced_cudagraph__3891188a89b4,cudagraph,bf16,2,balanced,163840,False,vllm_tensor_model_parallel_all_reduce,37.887999415397644,37.273600697517395,39.11679983139038,27.392,1.3831775487513742,10.495999415397645,qwen3_4b
collective__allreduce_n2_160K_balanced_eager__1c7499efe12c,eager,bf16,2,balanced,163840,False,vllm_tensor_model_parallel_all_reduce,53.6575973033905,52.20479965209961,57.34400153160095,96.392,0.556660275784199,-42.73440269660949,qwen3_4b
collective__allreduce_n2_20K_balanced_cudagraph__6cdfcc15ecde,cudagraph,bf16,2,balanced,20480,False,vllm_tensor_model_parallel_all_reduce,12.492799758911133,12.083200365304947,12.902399897575378,20.223999999999997,0.6177215070664129,-7.731200241088864,qwen3_4b
collective__allreduce_n2_20K_balanced_eager__ea6aab7d9e85,eager,bf16,2,balanced,20480,False,vllm_tensor_model_parallel_all_reduce,51.814401149749756,50.97600221633911,55.686402320861816,89.224,0.5807226883994189,-37.40959885025025,qwen3_4b
collective__allreduce_n2_20M_balanced_cudagraph__166b0d490e48,cudagraph,bf16,2,balanced,20971520,False,vllm_tensor_model_parallel_all_reduce,1690.822410583496,1687.9615783691406,1698.1695175170898,1067.776,1.5834991707844117,623.046410583496,qwen3_4b
collective__allreduce_n2_20M_balanced_eager__46ebfa100014,eager,bf16,2,balanced,20971520,False,vllm_tensor_model_parallel_all_reduce,1702.0927429199219,1693.9008712768555,1708.2368850708008,1136.776,1.4972982741717997,565.3167429199218,qwen3_4b
collective__allreduce_n2_2M_balanced_cudagraph__af9442704844,cudagraph,bf16,2,balanced,2621440,False,vllm_tensor_model_parallel_all_reduce,225.48480033874512,224.66559410095215,227.53279209136963,150.27200000000002,1.500511075508046,75.2128003387451,qwen3_4b
collective__allreduce_n2_2M_balanced_eager__e9fdc9f421f5,eager,bf16,2,balanced,2621440,False,vllm_tensor_model_parallel_all_reduce,233.88159275054932,231.62879943847656,236.13440990447998,219.27200000000002,1.066627716947669,14.609592750549297,qwen3_4b
collective__allreduce_n2_40M_balanced_cudagraph__a0151fc1e02a,cudagraph,bf16,2,balanced,41943040,False,vllm_tensor_model_parallel_all_reduce,3359.9361419677734,3351.5518188476562,3369.1646575927734,2116.3520000000003,1.5876074216235168,1243.5841419677731,qwen3_4b
collective__allreduce_n2_40M_balanced_eager__749956909afe,eager,bf16,2,balanced,41943040,False,vllm_tensor_model_parallel_all_reduce,3374.6814727783203,3365.8878326416016,3387.392044067383,2185.3520000000003,1.544227873943566,1189.32947277832,qwen3_4b
collective__allreduce_n2_5K_balanced_cudagraph__541e14c90a75,cudagraph,bf16,2,balanced,5120,False,vllm_tensor_model_parallel_all_reduce,10.239999741315842,10.239999741315842,10.649599879980087,19.456,0.5263157761778291,-9.216000258684158,qwen3_4b
collective__allreduce_n2_5K_balanced_eager__9ac7a16d7c0e,eager,bf16,2,balanced,5120,False,vllm_tensor_model_parallel_all_reduce,46.483200788497925,45.260798931121826,57.75359869003296,88.45599999999999,0.5254951703502072,-41.972799211502064,qwen3_4b
collective__allreduce_n2_640K_balanced_cudagraph__9b4e5a6ba510,cudagraph,bf16,2,balanced,655360,False,vllm_tensor_model_parallel_all_reduce,74.9567985534668,74.34239983558655,76.18560194969177,51.968,1.442364504184629,22.988798553466793,qwen3_4b
collective__allreduce_n2_640K_balanced_eager__d868f2872837,eager,bf16,2,balanced,655360,False,vllm_tensor_model_parallel_all_reduce,82.12479948997498,81.51040077209473,97.68959879875183,120.968,0.6788968941370856,-38.84320051002503,qwen3_4b
collective__allreduce_n2_80K_balanced_cudagraph__ffd7272d5ea1,cudagraph,bf16,2,balanced,81920,False,vllm_tensor_model_parallel_all_reduce,20.479999482631683,20.27519941329956,20.684799551963806,23.296,0.8791208569124177,-2.816000517368316,qwen3_4b
collective__allreduce_n2_80K_balanced_eager__1c42e734dab9,eager,bf16,2,balanced,81920,False,vllm_tensor_model_parallel_all_reduce,46.28480076789856,45.260798931121826,56.11519813537598,92.29599999999999,0.5014821960637359,-46.01119923210143,qwen3_4b
collective__allreduce_n4_10M_concentrated_cudagraph__d7877c16075f,cudagraph,bf16,4,concentrated,10485760,False,vllm_tensor_model_parallel_all_reduce,3246.694564819336,3219.6609497070312,3280.0769805908203,3203.328,1.0135379720151467,43.36656481933596,qwen3_4b
collective__allreduce_n4_10M_concentrated_eager__3aa8ae395871,eager,bf16,4,concentrated,10485760,False,vllm_tensor_model_parallel_all_reduce,3225.1903533935547,3207.1678161621094,3245.2606201171875,3272.328,0.985595072802468,-47.13764660644529,qwen3_4b
collective__allreduce_n4_160K_concentrated_cudagraph__f9febb93d99b,cudagraph,bf16,4,concentrated,163840,False,vllm_tensor_model_parallel_all_reduce,88.88319730758667,87.44959831237793,90.93120098114014,103.936,0.8551723878885724,-15.052802692413337,qwen3_4b
collective__allreduce_n4_160K_concentrated_eager__702bfa2ca1d5,eager,bf16,4,concentrated,163840,False,vllm_tensor_model_parallel_all_reduce,95.4367995262146,93.9903974533081,96.87039852142334,172.936,0.5518619577543982,-77.49920047378541,qwen3_4b
collective__allreduce_n4_20K_concentrated_cudagraph__f218235f1df9,cudagraph,bf16,4,concentrated,20480,False,vllm_tensor_model_parallel_all_reduce,25.600001215934753,25.39519965648651,28.672000765800476,46.592,0.5494505755480502,-20.991998784065245,qwen3_4b
collective__allreduce_n4_20K_concentrated_eager__2034e809cae6,eager,bf16,4,concentrated,20480,False,vllm_tensor_model_parallel_all_reduce,53.862398862838745,49.15199875831604,80.07680177688599,115.592,0.46596995348154496,-61.729601137161254,qwen3_4b
collective__allreduce_n4_20M_concentrated_cudagraph__672a873b0b42,cudagraph,bf16,4,concentrated,20971520,False,vllm_tensor_model_parallel_all_reduce,6486.406707763672,6458.982086181641,6513.43994140625,6349.056,1.0216332487481088,137.3507077636723,qwen3_4b
collective__allreduce_n4_20M_concentrated_eager__e8bcfde3445b,eager,bf16,4,concentrated,20971520,False,vllm_tensor_model_parallel_all_reduce,6489.702606201172,6462.054443359375,6517.350769042969,6418.056,1.0111632877932464,71.64660620117229,qwen3_4b
collective__allreduce_n4_2M_concentrated_cudagraph__5129a61435ca,cudagraph,bf16,4,concentrated,2621440,False,vllm_tensor_model_parallel_all_reduce,822.6816177368164,820.2239990234375,828.825569152832,844.032,0.9747042976294932,-21.350382263183633,qwen3_4b
collective__allreduce_n4_2M_concentrated_eager__41239849c835,eager,bf16,4,concentrated,2621440,False,vllm_tensor_model_parallel_all_reduce,834.5600128173828,828.4159660339355,846.6239929199219,913.032,0.9140534097571419,-78.47198718261723,qwen3_4b
collective__allreduce_n4_40M_concentrated_cudagraph__05db5011a81a,cudagraph,bf16,4,concentrated,41943040,False,vllm_tensor_model_parallel_all_reduce,12901.171875,12867.379760742188,12942.54150390625,12640.511999999999,1.0206209902731789,260.6598750000012,qwen3_4b
collective__allreduce_n4_40M_concentrated_eager__44a210260a6c,eager,bf16,4,concentrated,41943040,False,vllm_tensor_model_parallel_all_reduce,12766.00341796875,12715.436553955078,12836.466979980469,12709.511999999999,1.0044448140863906,56.49141796875119,qwen3_4b
collective__allreduce_n4_5K_concentrated_cudagraph__66085802783f,cudagraph,bf16,4,concentrated,5120,False,vllm_tensor_model_parallel_all_reduce,21.273599565029144,21.09439969062805,22.732800245285034,40.44799999999999,0.5259493563347791,-19.17440043497085,qwen3_4b
collective__allreduce_n4_5K_concentrated_eager__9a9b2da1687b,eager,bf16,4,concentrated,5120,False,vllm_tensor_model_parallel_all_reduce,45.67039906978607,45.05600035190582,55.103999376297,109.448,0.41727943013838603,-63.77760093021392,qwen3_4b
collective__allreduce_n4_640K_concentrated_cudagraph__3a7afaaeb293,cudagraph,bf16,4,concentrated,655360,False,vllm_tensor_model_parallel_all_reduce,255.98080158233643,249.85599517822266,260.26880741119385,254.20800000000003,1.0069738229415928,1.772801582336399,qwen3_4b
collective__allreduce_n4_640K_concentrated_eager__46a25090a46e,eager,bf16,4,concentrated,655360,False,vllm_tensor_model_parallel_all_reduce,266.4448022842407,260.09600162506104,272.3839998245239,323.208,0.8243756413338801,-56.763197715759304,qwen3_4b
collective__allreduce_n4_80K_concentrated_cudagraph__ee9ccb5a693a,cudagraph,bf16,4,concentrated,81920,False,vllm_tensor_model_parallel_all_reduce,57.9584002494812,57.34400153160095,58.36799740791321,71.168,0.814388492714158,-13.209599750518805,qwen3_4b
collective__allreduce_n4_80K_concentrated_eager__a3957721c6d5,eager,bf16,4,concentrated,81920,False,vllm_tensor_model_parallel_all_reduce,62.25919723510742,61.6703987121582,62.87360191345215,140.168,0.4441755410301026,-77.90880276489258,qwen3_4b
collective__allreduce_n4_10M_balanced_cudagraph__7e2fccb32534,cudagraph,bf16,4,balanced,10485760,False,vllm_tensor_model_parallel_all_reduce,1739.3600463867188,1720.1152801513672,1753.4975051879883,1630.4640000000002,1.0667883782694487,108.89604638671858,qwen3_4b
collective__allreduce_n4_10M_balanced_eager__af165e02f75d,eager,bf16,4,balanced,10485760,False,vllm_tensor_model_parallel_all_reduce,1735.2384567260742,1720.1152801513672,1749.8111724853516,1699.4640000000002,1.0210504351525387,35.77445672607405,qwen3_4b
collective__allreduce_n4_160K_balanced_cudagraph__573f9d083887,cudagraph,bf16,4,balanced,163840,False,vllm_tensor_model_parallel_all_reduce,56.31999969482422,56.11519813537598,56.93439841270447,71.168,0.7913669021867161,-14.848000305175788,qwen3_4b
collective__allreduce_n4_160K_balanced_eager__d31f156ed26e,eager,bf16,4,balanced,163840,False,vllm_tensor_model_parallel_all_reduce,64.30720090866089,63.865602016448975,67.5711989402771,140.168,0.45878660542107247,-75.86079909133912,qwen3_4b
collective__allreduce_n4_20K_balanced_cudagraph__72c5362a8783,cudagraph,bf16,4,balanced,20480,False,vllm_tensor_model_parallel_all_reduce,22.90560007095337,22.52800017595291,23.756800591945648,42.496,0.5390060257660337,-19.590399929046633,qwen3_4b
collective__allreduce_n4_20K_balanced_eager__27fb989295c6,eager,bf16,4,balanced,20480,False,vllm_tensor_model_parallel_all_reduce,54.06720042228699,45.46560049057007,69.81760263442993,111.496,0.4849250235191127,-57.42879957771301,qwen3_4b
collective__allreduce_n4_20M_balanced_cudagraph__628eb4cec7a8,cudagraph,bf16,4,balanced,20971520,False,vllm_tensor_model_parallel_all_reduce,3459.4688415527344,3444.736099243164,3478.1185150146484,3203.328,1.0799608536973841,256.1408415527344,qwen3_4b
collective__allreduce_n4_20M_balanced_eager__62f000b437ec,eager,bf16,4,balanced,20971520,False,vllm_tensor_model_parallel_all_reduce,3467.059326171875,3449.446487426758,3490.380859375,3272.328,1.0595084985893453,194.73132617187503,qwen3_4b
collective__allreduce_n4_2M_balanced_cudagraph__669c7482bcc2,cudagraph,bf16,4,balanced,2621440,False,vllm_tensor_model_parallel_all_reduce,443.8015937805176,438.8864040374756,447.07841873168945,450.816,0.9844406449205831,-7.014406219482396,qwen3_4b
collective__allreduce_n4_2M_balanced_eager__5455ba79c126,eager,bf16,4,balanced,2621440,False,vllm_tensor_model_parallel_all_reduce,450.764799118042,446.05441093444824,456.7039966583252,519.816,0.8671622249373663,-69.05120088195804,qwen3_4b
collective__allreduce_n4_40M_balanced_cudagraph__22f4213e31ea,cudagraph,bf16,4,balanced,41943040,False,vllm_tensor_model_parallel_all_reduce,6852.812957763672,6812.032318115234,6881.689453125,6349.056,1.0793435997042193,503.7569577636723,qwen3_4b
collective__allreduce_n4_40M_balanced_eager__3d9b51eaf3b5,eager,bf16,4,balanced,41943040,False,vllm_tensor_model_parallel_all_reduce,6870.015716552734,6834.598541259766,6907.084655761719,6418.056,1.0704200331927198,451.9597165527348,qwen3_4b
collective__allreduce_n4_5K_balanced_cudagraph__b29dfe4999ca,cudagraph,bf16,4,balanced,5120,False,vllm_tensor_model_parallel_all_reduce,19.225600361824036,18.84160041809082,19.43040043115616,39.424,0.4876623468400983,-20.198399638175964,qwen3_4b
collective__allreduce_n4_5K_balanced_eager__5c770df068a6,eager,bf16,4,balanced,5120,False,vllm_tensor_model_parallel_all_reduce,46.49600088596344,45.67039906978607,55.09120225906372,108.424,0.4288349524640618,-61.92799911403657,qwen3_4b
collective__allreduce_n4_640K_balanced_cudagraph__782af6f5f265,cudagraph,bf16,4,balanced,655360,False,vllm_tensor_model_parallel_all_reduce,150.32320022583008,148.6847996711731,152.98559665679932,155.904,0.9642036139279947,-5.580799774169918,qwen3_4b
collective__allreduce_n4_640K_balanced_eager__5c0d7373e7d5,eager,bf16,4,balanced,655360,False,vllm_tensor_model_parallel_all_reduce,158.1055998802185,155.03360033035278,161.17759943008423,224.904,0.7029914980623666,-66.79840011978149,qwen3_4b
collective__allreduce_n4_80K_balanced_cudagraph__666d97345bc5,cudagraph,bf16,4,balanced,81920,False,vllm_tensor_model_parallel_all_reduce,34.58560109138489,34.20160114765167,35.020801424980164,54.784,0.6313084311365524,-20.19839890861511,qwen3_4b
collective__allreduce_n4_80K_balanced_eager__51688178601c,eager,bf16,4,balanced,81920,False,vllm_tensor_model_parallel_all_reduce,47.89760112762451,46.89919948577881,56.11519813537598,123.78399999999999,0.3869450100790451,-75.88639887237548,qwen3_4b
collective__allreduce_n8_10M_concentrated_cudagraph__956d806d3859,cudagraph,bf16,8,concentrated,10485760,False,vllm_tensor_model_parallel_all_reduce,3512.9344940185547,3493.2735443115234,3565.363311767578,3804.4159999999997,0.9233833771119023,-291.481505981445,qwen3_4b
collective__allreduce_n8_10M_concentrated_eager__a88cc2787900,eager,bf16,8,concentrated,10485760,False,vllm_tensor_model_parallel_all_reduce,3547.340774536133,3511.705780029297,3576.2176513671875,3873.4159999999997,0.9158171429394966,-326.0752254638669,qwen3_4b
collective__allreduce_n8_160K_concentrated_cudagraph__510f0c5344ab,cudagraph,bf16,8,concentrated,163840,False,vllm_tensor_model_parallel_all_reduce,115.27680158615112,113.6639952659607,118.16960573196411,123.13600000000001,0.936174649055931,-7.859198413848887,qwen3_4b
collective__allreduce_n8_160K_concentrated_eager__ea2db4b8ac87,eager,bf16,8,concentrated,163840,False,vllm_tensor_model_parallel_all_reduce,123.50080013275146,122.43839502334595,126.15679502487183,192.136,0.6427780329180969,-68.63519986724853,qwen3_4b
collective__allreduce_n8_20K_concentrated_cudagraph__b6e563178eb9,cudagraph,bf16,8,concentrated,20480,False,vllm_tensor_model_parallel_all_reduce,47.513601183891296,46.694400906562805,48.94720017910004,65.792,0.7221790063213049,-18.278398816108705,qwen3_4b
collective__allreduce_n8_20K_concentrated_eager__923fa08badbb,eager,bf16,8,concentrated,20480,False,vllm_tensor_model_parallel_all_reduce,57.75359869003296,53.248000144958496,77.00480222702026,134.792,0.4284645875870449,-77.03840130996704,qwen3_4b
collective__allreduce_n8_20M_concentrated_cudagraph__3626863d0bba,cudagraph,bf16,8,concentrated,20971520,False,vllm_tensor_model_parallel_all_reduce,7048.8067626953125,7022.182464599609,7113.926696777344,7474.432,0.9430558419282311,-425.6252373046873,qwen3_4b
collective__allreduce_n8_20M_concentrated_eager__91e806811c4c,eager,bf16,8,concentrated,20971520,False,vllm_tensor_model_parallel_all_reduce,6977.740478515625,6951.3214111328125,7046.348571777344,7543.431999999999,0.9250087332285393,-565.6915214843739,qwen3_4b
collective__allreduce_n8_2M_concentrated_cudagraph__ab56f74757ad,cudagraph,bf16,8,concentrated,2621440,False,vllm_tensor_model_parallel_all_reduce,930.8159828186035,916.0703659057617,943.5135841369629,1051.904,0.8848868174458919,-121.08801718139648,qwen3_4b
collective__allreduce_n8_2M_concentrated_eager__04df7e3094a4,eager,bf16,8,concentrated,2621440,False,vllm_tensor_model_parallel_all_reduce,938.3935928344727,927.9487609863281,951.6799926757812,1120.904,0.8371757017857664,-182.51040716552734,qwen3_4b
collective__allreduce_n8_40M_concentrated_cudagraph__c0eb15a6da48,cudagraph,bf16,8,concentrated,41943040,False,vllm_tensor_model_parallel_all_reduce,14203.276062011719,14155.354309082031,14280.703735351562,14814.464,0.9587438372398569,-611.1879379882812,qwen3_4b
collective__allreduce_n8_40M_concentrated_eager__af181a998a2a,eager,bf16,8,concentrated,41943040,False,vllm_tensor_model_parallel_all_reduce,14192.025756835938,14140.403747558594,14238.514709472656,14883.463999999998,0.9535431910767507,-691.4382431640606,qwen3_4b
collective__allreduce_n8_5K_concentrated_cudagraph__bdc977dc02ac,cudagraph,bf16,8,concentrated,5120,False,vllm_tensor_model_parallel_all_reduce,28.467199206352234,28.05759906768799,29.900801181793213,59.647999999999996,0.47725320557859835,-31.180800793647762,qwen3_4b
collective__allreduce_n8_5K_concentrated_eager__b950ce9c6665,eager,bf16,8,concentrated,5120,False,vllm_tensor_model_parallel_all_reduce,54.88640069961548,53.45280170440674,66.96959733963013,128.64799999999997,0.42664013975822007,-73.76159930038449,qwen3_4b
collective__allreduce_n8_640K_concentrated_cudagraph__527dea85534f,cudagraph,bf16,8,concentrated,655360,False,vllm_tensor_model_parallel_all_reduce,289.3824100494385,285.90080738067627,297.7792024612427,319.744,0.9050440666578214,-30.36158995056155,qwen3_4b
collective__allreduce_n8_640K_concentrated_eager__50ca1791e81a,eager,bf16,8,concentrated,655360,False,vllm_tensor_model_parallel_all_reduce,297.5359916687012,291.8400049209595,302.27200984954834,388.744,0.7653777078712498,-91.20800833129886,qwen3_4b
collective__allreduce_n8_80K_concentrated_cudagraph__0fba944d96c9,cudagraph,bf16,8,concentrated,81920,False,vllm_tensor_model_parallel_all_reduce,68.1984007358551,67.17439889907837,68.81279945373535,90.368,0.7546742291060453,-22.169599264144892,qwen3_4b
collective__allreduce_n8_80K_concentrated_eager__8cc5590f2192,eager,bf16,8,concentrated,81920,False,vllm_tensor_model_parallel_all_reduce,81.9648027420044,79.6671986579895,94.61119771003723,159.36800000000002,0.5143115477511444,-77.40319725799563,qwen3_4b
collective__allreduce_n8_10M_balanced_cudagraph__12f4c3c6918c,cudagraph,bf16,8,balanced,10485760,False,vllm_tensor_model_parallel_all_reduce,3538.1248474121094,3501.670455932617,3566.7903900146484,3804.4159999999997,0.9300047227779795,-266.29115258789034,qwen3_4b
collective__allreduce_n8_10M_balanced_eager__58174037be81,eager,bf16,8,balanced,10485760,False,vllm_tensor_model_parallel_all_reduce,3543.2449340820312,3502.0801544189453,3592.396926879883,3873.4159999999997,0.9147597196071973,-330.17106591796846,qwen3_4b
collective__allreduce_n8_160K_balanced_cudagraph__a3d9c4f99817,cudagraph,bf16,8,balanced,163840,False,vllm_tensor_model_parallel_all_reduce,118.16960573196411,117.76000261306763,118.98880004882812,123.13600000000001,0.959667406217224,-4.966394268035899,qwen3_4b
collective__allreduce_n8_160K_balanced_eager__cc9aa3d33122,eager,bf16,8,balanced,163840,False,vllm_tensor_model_parallel_all_reduce,123.49439859390259,121.63200378417969,124.70400333404541,192.136,0.6427447151699972,-68.64160140609741,qwen3_4b
collective__allreduce_n8_20K_balanced_cudagraph__76635cf2c6cf,cudagraph,bf16,8,balanced,20480,False,vllm_tensor_model_parallel_all_reduce,49.15199875831604,48.53760004043579,55.09120225906372,65.792,0.7470816931893853,-16.64000124168396,qwen3_4b
collective__allreduce_n8_20K_balanced_eager__69d85527036f,eager,bf16,8,balanced,20480,False,vllm_tensor_model_parallel_all_reduce,51.40479803085327,50.17600059509277,56.52480125427246,134.792,0.38136386455318766,-83.38720196914673,qwen3_4b
collective__allreduce_n8_20M_balanced_cudagraph__748f31a16838,cudagraph,bf16,8,balanced,20971520,False,vllm_tensor_model_parallel_all_reduce,7026.483154296875,6977.126312255859,7090.5853271484375,7474.432,0.9400691790756642,-447.9488457031248,qwen3_4b
collective__allreduce_n8_20M_balanced_eager__de8935825977,eager,bf16,8,balanced,20971520,False,vllm_tensor_model_parallel_all_reduce,6983.0657958984375,6954.803466796875,7088.53759765625,7543.431999999999,0.9257146874126311,-560.3662041015614,qwen3_4b
collective__allreduce_n8_2M_balanced_cudagraph__d58b2cbe40e0,cudagraph,bf16,8,balanced,2621440,False,vllm_tensor_model_parallel_all_reduce,932.044792175293,924.2624282836914,951.910400390625,1051.904,0.8860549937782278,-119.85920782470703,qwen3_4b
collective__allreduce_n8_2M_balanced_eager__e80520b9f258,eager,bf16,8,balanced,2621440,False,vllm_tensor_model_parallel_all_reduce,937.1647834777832,926.5151977539062,947.2000122070312,1120.904,0.8360794354180048,-183.7392165222168,qwen3_4b
collective__allreduce_n8_40M_balanced_cudagraph__b9232f4e8a06,cudagraph,bf16,8,balanced,41943040,False,vllm_tensor_model_parallel_all_reduce,14180.76171875,14135.70556640625,14236.87744140625,14814.464,0.9572240830819124,-633.7022812499999,qwen3_4b
collective__allreduce_n8_40M_balanced_eager__7884e8d8acb7,eager,bf16,8,balanced,41943040,False,vllm_tensor_model_parallel_all_reduce,14135.910034179688,14102.323913574219,14205.337524414062,14883.463999999998,0.9497728508752861,-747.5539658203106,qwen3_4b
collective__allreduce_n8_5K_balanced_cudagraph__626a6ba76249,cudagraph,bf16,8,balanced,5120,False,vllm_tensor_model_parallel_all_reduce,34.406399726867676,33.17759931087494,40.55039882659912,59.647999999999996,0.5768240297556947,-25.24160027313232,qwen3_4b
collective__allreduce_n8_5K_balanced_eager__0de3562ad6a0,eager,bf16,8,balanced,5120,False,vllm_tensor_model_parallel_all_reduce,54.46400046348572,51.1680006980896,61.235201358795166,128.64799999999997,0.423356760023364,-74.18399953651425,qwen3_4b
collective__allreduce_n8_640K_balanced_cudagraph__7fe69ab0feba,cudagraph,bf16,8,balanced,655360,False,vllm_tensor_model_parallel_all_reduce,289.37599658966064,284.87679958343506,292.8639888763428,319.744,0.905024008549529,-30.368003410339384,qwen3_4b
collective__allreduce_n8_640K_balanced_eager__ff12113b5979,eager,bf16,8,balanced,655360,False,vllm_tensor_model_parallel_all_reduce,297.16479778289795,293.4720039367676,300.8703947067261,388.744,0.7644228535563197,-91.57920221710208,qwen3_4b
collective__allreduce_n8_80K_balanced_cudagraph__16a1837a0a09,cudagraph,bf16,8,balanced,81920,False,vllm_tensor_model_parallel_all_reduce,70.86079716682434,70.04160284996033,71.88479900360107,90.368,0.7841359459855739,-19.507202833175654,qwen3_4b
collective__allreduce_n8_80K_balanced_eager__51919ad06247,eager,bf16,8,balanced,81920,False,vllm_tensor_model_parallel_all_reduce,77.44640111923218,76.39039754867554,78.84799838066101,159.36800000000002,0.4859595472066674,-81.92159888076785,qwen3_4b
